Commodity,Year,Value,State,ProdPractice
HAYLAGE,2002,4.60000,IDAHO,"IRRIGATED, NONE OF CROP"
CORN,2002,22.20000,MARYLAND,"IRRIGATED, ENTIRE CROP"
HAY,2002,4.30000,IOWA,"IRRIGATED, ENTIRE CROP"
CORN,2012,17.40000,MARYLAND,"IRRIGATED, NONE OF CROP"
HAYLAGE,2002,7.00000,MINNESOTA,"IRRIGATED, NONE OF CROP"
HAY,2007,2.10000,INDIANA,"IRRIGATED, NONE OF CROP"
CORN,2012,13.30000,KENTUCKY,"IRRIGATED, NONE OF CROP"
CORN,2002,.00000,MAINE,"IRRIGATED, PART OF CROP"
HAYLAGE,2002,.00000,WEST VIRGINIA,"IRRIGATED, ENTIRE CROP"
HAY,2007,1.70000,CONNECTICUT,"IRRIGATED, NONE OF CROP"
CORN,2002,14.30000,NEW YORK,"IRRIGATED, ENTIRE CROP"
HAY,2002,.00000,WEST VIRGINIA,"IRRIGATED, PART OF CROP"
HAY,2002,.00000,MAINE,"IRRIGATED, NONE OF CROP"
HAYLAGE,2002,6.70000,MINNESOTA,"IRRIGATED, ENTIRE CROP"
CORN,2002,17.50000,FLORIDA,"IRRIGATED, ENTIRE CROP"
HAY,2002,5.00000,NEW MEXICO,"IRRIGATED, ENTIRE CROP"
HAY,2007,.80000,WYOMING,"IRRIGATED, NONE OF CROP"
HAY,2002,1.10000,MINNESOTA,"IRRIGATED, ENTIRE CROP"
HAY,2007,1.70000,SOUTH DAKOTA,"IRRIGATED, NONE OF CROP"
HAYLAGE,2007,2.90000,MISSOURI,"IRRIGATED, NONE OF CROP"
HAYLAGE,2007,7.30000,UTAH,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2007,.00000,NORTH DAKOTA,"IRRIGATED, PART OF CROP"
HAY,2012,6.50000,CALIFORNIA,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2002,5.20000,WEST VIRGINIA,"IRRIGATED, NONE OF CROP"
HAY,2002,3.20000,FLORIDA,"IRRIGATED, PART OF CROP"
HAYLAGE,2002,.00000,DELAWARE,"IRRIGATED, PART OF CROP"
CORN,2007,20.20000,COLORADO,"IRRIGATED, PART OF CROP"
HAYLAGE,2002,2.90000,NEBRASKA,"IRRIGATED, NONE OF CROP"
CORN,2002,20.60000,UTAH,"IRRIGATED, ENTIRE CROP"
HAY,2012,.00000,KENTUCKY,"IRRIGATED, ENTIRE CROP"
HAY,2012,2.60000,KENTUCKY,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2012,.00000,KENTUCKY,"IRRIGATED, PART OF CROP"
CORN,2012,19.80000,COLORADO,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2012,5.20000,COLORADO,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2002,.00000,MARYLAND,"IRRIGATED, PART OF CROP"
CORN,2012,27.20000,IDAHO,"IRRIGATED, ENTIRE CROP"
HAY,2002,3.10000,ARKANSAS,"IRRIGATED, ENTIRE CROP"
HAY,2002,4.40000,WASHINGTON,"IRRIGATED, ENTIRE CROP"
SUGARBEETS,2012,35.10000,IDAHO,"IRRIGATED, ENTIRE CROP"
HAY,2012,1.50000,IDAHO,"IRRIGATED, NONE OF CROP"
HAYLAGE,2007,.00000,TENNESSEE,"IRRIGATED, ENTIRE CROP"
HAY,2002,2.60000,KANSAS,"IRRIGATED, NONE OF CROP"
HAYLAGE,2002,6.20000,FLORIDA,"IRRIGATED, NONE OF CROP"
CORN,2007,11.20000,SOUTH CAROLINA,"IRRIGATED, NONE OF CROP"
HAY,2002,1.40000,WYOMING,"IRRIGATED, PART OF CROP"
CORN,2002,13.30000,NEW YORK,"IRRIGATED, PART OF CROP"
CORN,2002,17.80000,MICHIGAN,"IRRIGATED, ENTIRE CROP"
HAY,2012,2.30000,KENTUCKY,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,.00000,KENTUCKY,"IRRIGATED, ENTIRE CROP"
CORN,2012,19.30000,KENTUCKY,"IRRIGATED, PART OF CROP"
HAY,2012,2.40000,LOUISIANA,"IRRIGATED, ENTIRE CROP"
CORN,2007,12.00000,MARYLAND,"IRRIGATED, NONE OF CROP"
SUGARBEETS,2007,30.00000,US TOTAL,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2002,12.00000,WASHINGTON,"IRRIGATED, PART OF CROP"
HAY,2012,3.90000,MARYLAND,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2012,.00000,MARYLAND,"IRRIGATED, NONE OF CROP"
HAY,2012,2.90000,KANSAS,"IRRIGATED, ENTIRE CROP"
HAY,2007,.00000,MASSACHUSETTS,"IRRIGATED, ENTIRE CROP"
HAY,2012,.00000,ARIZONA,"IRRIGATED, PART OF CROP"
CORN,2002,7.00000,NORTH DAKOTA,"IRRIGATED, NONE OF CROP"
HAY,2002,.00000,RHODE ISLAND,"IRRIGATED, NONE OF CROP"
HAY,2007,.00000,OHIO,"IRRIGATED, PART OF CROP"
HAYLAGE,2007,4.80000,WYOMING,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2007,5.90000,SOUTH DAKOTA,"IRRIGATED, ENTIRE CROP"
CORN,2007,21.40000,UTAH,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2007,.00000,OREGON,"IRRIGATED, PART OF CROP"
CORN,2007,.00000,ALABAMA,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2007,10.20000,MICHIGAN,"IRRIGATED, PART OF CROP"
CORN,2002,.00000,NEW JERSEY,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2002,9.20000,PENNSYLVANIA,"IRRIGATED, ENTIRE CROP"
CORN,2002,.00000,RHODE ISLAND,"IRRIGATED, ENTIRE CROP"
HAY,2007,2.60000,MISSOURI,"IRRIGATED, NONE OF CROP"
SUGARBEETS,2007,23.60000,MICHIGAN,"IRRIGATED, NONE OF CROP"
SUGARBEETS,2002,21.90000,MINNESOTA,"IRRIGATED, ENTIRE CROP"
HAY,2002,4.10000,TENNESSEE,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2002,5.00000,NORTH CAROLINA,"IRRIGATED, NONE OF CROP"
SUGARBEETS,2012,.00000,MICHIGAN,"IRRIGATED, NONE OF CROP"
HAY,2012,1.60000,MINNESOTA,"IRRIGATED, NONE OF CROP"
HAY,2007,2.40000,UTAH,"IRRIGATED, PART OF CROP"
HAY,2002,4.80000,OKLAHOMA,"IRRIGATED, ENTIRE CROP"
CORN,2007,.00000,ARKANSAS,"IRRIGATED, NONE OF CROP"
CORN,2002,16.40000,RHODE ISLAND,"IRRIGATED, NONE OF CROP"
HAY,2002,.00000,RHODE ISLAND,"IRRIGATED, ENTIRE CROP"
CORN,2002,15.30000,SOUTH DAKOTA,"IRRIGATED, ENTIRE CROP"
HAY,2012,1.00000,CONNECTICUT,"IRRIGATED, PART OF CROP"
HAYLAGE,2012,.00000,CONNECTICUT,"IRRIGATED, NONE OF CROP"
CORN,2002,15.70000,VIRGINIA,"IRRIGATED, ENTIRE CROP"
CORN,2012,15.00000,MICHIGAN,"IRRIGATED, NONE OF CROP"
CORN,2002,.00000,MISSISSIPPI,"IRRIGATED, PART OF CROP"
HAY,2012,1.80000,MISSISSIPPI,"IRRIGATED, PART OF CROP"
HAY,2002,.00000,IOWA,"IRRIGATED, PART OF CROP"
HAYLAGE,2007,.00000,TENNESSEE,"IRRIGATED, NONE OF CROP"
HAY,2002,.00000,ARIZONA,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2007,.00000,MARYLAND,"IRRIGATED, ENTIRE CROP"
HAY,2002,.00000,NORTH DAKOTA,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2007,7.80000,OREGON,"IRRIGATED, ENTIRE CROP"
HAY,2002,2.00000,INDIANA,"IRRIGATED, NONE OF CROP"
HAYLAGE,2007,.00000,DELAWARE,"IRRIGATED, PART OF CROP"
HAY,2007,1.80000,NEW JERSEY,"IRRIGATED, NONE OF CROP"
CORN,2002,15.50000,KENTUCKY,"IRRIGATED, NONE OF CROP"
CORN,2002,.00000,OKLAHOMA,"IRRIGATED, PART OF CROP"
HAY,2002,1.00000,WYOMING,"IRRIGATED, ENTIRE CROP"
HAY,2007,3.70000,IOWA,"IRRIGATED, ENTIRE CROP"
HAY,2007,.00000,IOWA,"IRRIGATED, ENTIRE CROP"
HAY,2007,.60000,MARYLAND,"IRRIGATED, PART OF CROP"
HAY,2007,1.90000,MASSACHUSETTS,"IRRIGATED, NONE OF CROP"
HAY,2007,1.40000,KANSAS,"IRRIGATED, NONE OF CROP"
HAY,2012,2.00000,MICHIGAN,"IRRIGATED, NONE OF CROP"
HAY,2002,2.50000,MISSISSIPPI,"IRRIGATED, ENTIRE CROP"
HAY,2002,1.50000,NEBRASKA,"IRRIGATED, PART OF CROP"
HAYLAGE,2007,10.20000,WISCONSIN,"IRRIGATED, PART OF CROP"
HAY,2002,.00000,DELAWARE,"IRRIGATED, PART OF CROP"
HAY,2007,2.00000,WASHINGTON,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,.00000,MASSACHUSETTS,"IRRIGATED, NONE OF CROP"
HAYLAGE,2007,.00000,MARYLAND,"IRRIGATED, ENTIRE CROP"
HAY,2007,.00000,WEST VIRGINIA,"IRRIGATED, NONE OF CROP"
HAYLAGE,2007,6.70000,CALIFORNIA,"IRRIGATED, ENTIRE CROP"
HAY,2007,.00000,IOWA,"IRRIGATED, PART OF CROP"
HAY,2012,1.80000,MISSISSIPPI,"IRRIGATED, NONE OF CROP"
HAY,2007,1.50000,VIRGINIA,"IRRIGATED, PART OF CROP"
HAY,2007,3.30000,MINNESOTA,"IRRIGATED, PART OF CROP"
HAY,2007,1.40000,NORTH DAKOTA,"IRRIGATED, NONE OF CROP"
CORN,2012,15.00000,VIRGINIA,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,.00000,VIRGINIA,"IRRIGATED, ENTIRE CROP"
HAY,2002,5.40000,KANSAS,"IRRIGATED, ENTIRE CROP"
HAY,2007,1.80000,WASHINGTON,"IRRIGATED, PART OF CROP"
CORN,2002,14.70000,MISSISSIPPI,"IRRIGATED, NONE OF CROP"
CORN,2002,13.70000,NEW YORK,"IRRIGATED, NONE OF CROP"
CORN,2002,.00000,VERMONT,"IRRIGATED, PART OF CROP"
HAYLAGE,2002,4.30000,KENTUCKY,"IRRIGATED, NONE OF CROP"
HAY,2007,1.40000,IDAHO,"IRRIGATED, NONE OF CROP"
HAY,2007,1.30000,MARYLAND,"IRRIGATED, ENTIRE CROP"
SUGARBEETS,2002,.00000,CALIFORNIA,"IRRIGATED, ENTIRE CROP"
CORN,2002,.00000,WEST VIRGINIA,"IRRIGATED, NONE OF CROP"
HAY,2002,1.90000,US TOTAL,"IRRIGATED, NONE OF CROP"
HAY,2002,3.40000,WISCONSIN,"IRRIGATED, ENTIRE CROP"
HAY,2007,1.80000,COLORADO,"IRRIGATED, PART OF CROP"
HAY,2007,1.80000,WASHINGTON,"IRRIGATED, PART OF CROP"
HAY,2002,1.40000,MARYLAND,"IRRIGATED, PART OF CROP"
HAY,2007,1.90000,INDIANA,"IRRIGATED, NONE OF CROP"
HAY,2007,1.30000,WISCONSIN,"IRRIGATED, PART OF CROP"
HAY,2007,1.40000,ALASKA,"IRRIGATED, NONE OF CROP"
HAYLAGE,2007,2.40000,LOUISIANA,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2007,2.10000,COLORADO,"IRRIGATED, NONE OF CROP"
HAY,2002,2.10000,VIRGINIA,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2002,5.60000,RHODE ISLAND,"IRRIGATED, NONE OF CROP"
HAY,2002,1.30000,INDIANA,"IRRIGATED, NONE OF CROP"
HAY,2002,.00000,WEST VIRGINIA,"IRRIGATED, PART OF CROP"
HAY,2002,.30000,WYOMING,"IRRIGATED, NONE OF CROP"
HAY,2012,2.20000,MISSOURI,"IRRIGATED, NONE OF CROP"
HAY,2012,1.30000,MISSOURI,"IRRIGATED, NONE OF CROP"
HAY,2007,3.40000,KANSAS,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2007,7.10000,MISSOURI,"IRRIGATED, ENTIRE CROP"
HAY,2007,2.40000,SOUTH CAROLINA,"IRRIGATED, PART OF CROP"
HAYLAGE,2007,9.00000,NORTH DAKOTA,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2007,4.20000,KANSAS,"IRRIGATED, NONE OF CROP"
CORN,2002,20.20000,WISCONSIN,"IRRIGATED, ENTIRE CROP"
HAY,2002,.00000,ALABAMA,"IRRIGATED, PART OF CROP"
HAYLAGE,2002,4.80000,MONTANA,"IRRIGATED, PART OF CROP"
CORN,2007,.00000,NEW YORK,"IRRIGATED, ENTIRE CROP"
HAY,2002,.00000,RHODE ISLAND,"IRRIGATED, ENTIRE CROP"
HAY,2002,.00000,MAINE,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,4.00000,MISSOURI,"IRRIGATED, PART OF CROP"
CORN,2012,19.10000,MINNESOTA,"IRRIGATED, PART OF CROP"
HAY,2012,2.80000,MINNESOTA,"IRRIGATED, NONE OF CROP"
HAY,2012,1.10000,NEW MEXICO,"IRRIGATED, NONE OF CROP"
HAYLAGE,2007,1.70000,INDIANA,"IRRIGATED, ENTIRE CROP"
HAY,2002,2.00000,SOUTH DAKOTA,"IRRIGATED, ENTIRE CROP"
HAY,2007,2.10000,NEW JERSEY,"IRRIGATED, PART OF CROP"
HAY,2007,1.50000,NORTH CAROLINA,"IRRIGATED, ENTIRE CROP"
HAY,2007,3.30000,US TOTAL,"IRRIGATED, PART OF CROP"
HAY,2012,2.60000,DELAWARE,"IRRIGATED, NONE OF CROP"
CORN,2012,16.50000,DELAWARE,"IRRIGATED, NONE OF CROP"
HAY,2007,4.10000,NEBRASKA,"IRRIGATED, PART OF CROP"
SUGARBEETS,2012,28.10000,NEBRASKA,"IRRIGATED, ENTIRE CROP"
HAY,2012,1.10000,NEBRASKA,"IRRIGATED, NONE OF CROP"
HAY,2007,2.60000,RHODE ISLAND,"IRRIGATED, NONE OF CROP"
HAY,2007,2.90000,GEORGIA,"IRRIGATED, ENTIRE CROP"
HAY,2002,.00000,DELAWARE,"IRRIGATED, ENTIRE CROP"
HAY,2012,1.40000,ALASKA,"IRRIGATED, NONE OF CROP"
HAY,2012,3.30000,NEW MEXICO,"IRRIGATED, ENTIRE CROP"
HAY,2002,3.70000,NORTH DAKOTA,"IRRIGATED, ENTIRE CROP"
HAY,2012,2.10000,NEW HAMPSHIRE,"IRRIGATED, NONE OF CROP"
HAY,2012,.00000,NEW HAMPSHIRE,"IRRIGATED, PART OF CROP"
HAYLAGE,2007,11.70000,WASHINGTON,"IRRIGATED, PART OF CROP"
HAYLAGE,2007,4.00000,CALIFORNIA,"IRRIGATED, NONE OF CROP"
HAY,2002,2.00000,UTAH,"IRRIGATED, NONE OF CROP"
HAY,2002,2.40000,US TOTAL,"IRRIGATED, NONE OF CROP"
HAYLAGE,2002,.00000,MISSOURI,"IRRIGATED, PART OF CROP"
HAY,2002,2.00000,MISSISSIPPI,"IRRIGATED, NONE OF CROP"
HAYLAGE,2002,8.10000,MASSACHUSETTS,"IRRIGATED, NONE OF CROP"
CORN,2007,20.10000,GEORGIA,"IRRIGATED, ENTIRE CROP"
HAY,2007,2.90000,NEW MEXICO,"IRRIGATED, ENTIRE CROP"
HAY,2012,2.20000,WISCONSIN,"IRRIGATED, ENTIRE CROP"
HAY,2012,1.80000,WISCONSIN,"IRRIGATED, NONE OF CROP"
HAY,2012,1.80000,WISCONSIN,"IRRIGATED, PART OF CROP"
HAYLAGE,2012,6.50000,WISCONSIN,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,.00000,WISCONSIN,"IRRIGATED, PART OF CROP"
HAY,2002,2.00000,TEXAS,"IRRIGATED, PART OF CROP"
HAY,2002,.00000,DELAWARE,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2002,.00000,NEW MEXICO,"IRRIGATED, PART OF CROP"
HAY,2007,4.30000,MARYLAND,"IRRIGATED, ENTIRE CROP"
CORN,2007,12.70000,MISSISSIPPI,"IRRIGATED, NONE OF CROP"
HAYLAGE,2007,10.20000,WASHINGTON,"IRRIGATED, ENTIRE CROP"
HAY,2002,4.10000,NEBRASKA,"IRRIGATED, ENTIRE CROP"
HAY,2002,.00000,CONNECTICUT,"IRRIGATED, PART OF CROP"
HAYLAGE,2002,3.20000,LOUISIANA,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,9.80000,WASHINGTON,"IRRIGATED, ENTIRE CROP"
HAY,2007,1.40000,MINNESOTA,"IRRIGATED, PART OF CROP"
HAY,2007,1.50000,TENNESSEE,"IRRIGATED, NONE OF CROP"
HAY,2012,1.70000,NEW HAMPSHIRE,"IRRIGATED, NONE OF CROP"
HAY,2012,1.90000,NEW HAMPSHIRE,"IRRIGATED, NONE OF CROP"
HAY,2002,2.50000,NORTH CAROLINA,"IRRIGATED, PART OF CROP"
CORN,2007,17.10000,FLORIDA,"IRRIGATED, NONE OF CROP"
HAY,2007,2.10000,MICHIGAN,"IRRIGATED, ENTIRE CROP"
HAY,2002,1.90000,NORTH CAROLINA,"IRRIGATED, PART OF CROP"
HAYLAGE,2002,4.10000,COLORADO,"IRRIGATED, PART OF CROP"
HAY,2002,2.50000,FLORIDA,"IRRIGATED, NONE OF CROP"
CORN,2002,11.50000,ARKANSAS,"IRRIGATED, NONE OF CROP"
HAY,2002,1.80000,NEW HAMPSHIRE,"IRRIGATED, NONE OF CROP"
HAYLAGE,2007,4.60000,GEORGIA,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2002,2.20000,MONTANA,"IRRIGATED, NONE OF CROP"
HAYLAGE,2002,9.90000,WISCONSIN,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2002,.00000,WYOMING,"IRRIGATED, NONE OF CROP"
HAY,2012,2.60000,NEBRASKA,"IRRIGATED, ENTIRE CROP"
HAY,2002,.00000,LOUISIANA,"IRRIGATED, PART OF CROP"
HAYLAGE,2002,.00000,IOWA,"IRRIGATED, PART OF CROP"
HAYLAGE,2002,10.20000,IDAHO,"IRRIGATED, ENTIRE CROP"
HAY,2007,2.10000,KENTUCKY,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2007,.00000,TENNESSEE,"IRRIGATED, PART OF CROP"
CORN,2007,25.00000,ILLINOIS,"IRRIGATED, ENTIRE CROP"
HAY,2007,7.30000,CALIFORNIA,"IRRIGATED, ENTIRE CROP"
HAY,2007,1.00000,IDAHO,"IRRIGATED, PART OF CROP"
CORN,2012,13.00000,NEW JERSEY,"IRRIGATED, ENTIRE CROP"
HAY,2012,3.50000,NEW JERSEY,"IRRIGATED, PART OF CROP"
HAY,2012,.00000,NEW JERSEY,"IRRIGATED, NONE OF CROP"
HAYLAGE,2002,7.90000,VIRGINIA,"IRRIGATED, ENTIRE CROP"
HAY,2002,2.80000,US TOTAL,"IRRIGATED, PART OF CROP"
HAY,2007,3.20000,LOUISIANA,"IRRIGATED, PART OF CROP"
HAYLAGE,2007,6.50000,SOUTH CAROLINA,"IRRIGATED, NONE OF CROP"
HAYLAGE,2007,7.60000,NEBRASKA,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2012,5.60000,NEBRASKA,"IRRIGATED, PART OF CROP"
HAY,2002,1.90000,INDIANA,"IRRIGATED, NONE OF CROP"
HAY,2002,2.00000,LOUISIANA,"IRRIGATED, NONE OF CROP"
CORN,2007,19.20000,SOUTH CAROLINA,"IRRIGATED, ENTIRE CROP"
HAY,2012,1.40000,NEBRASKA,"IRRIGATED, ENTIRE CROP"
HAY,2007,1.70000,NEBRASKA,"IRRIGATED, ENTIRE CROP"
HAY,2012,.00000,WEST VIRGINIA,"IRRIGATED, ENTIRE CROP"
HAY,2012,1.60000,GEORGIA,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,3.50000,GEORGIA,"IRRIGATED, NONE OF CROP"
HAYLAGE,2007,.00000,GEORGIA,"IRRIGATED, ENTIRE CROP"
HAY,2007,.00000,IOWA,"IRRIGATED, ENTIRE CROP"
HAY,2007,1.30000,PENNSYLVANIA,"IRRIGATED, NONE OF CROP"
HAYLAGE,2007,6.80000,OREGON,"IRRIGATED, ENTIRE CROP"
HAY,2012,2.50000,GEORGIA,"IRRIGATED, PART OF CROP"
HAY,2012,3.20000,GEORGIA,"IRRIGATED, PART OF CROP"
HAYLAGE,2007,5.50000,COLORADO,"IRRIGATED, ENTIRE CROP"
HAY,2007,1.20000,ARKANSAS,"IRRIGATED, PART OF CROP"
HAY,2007,.00000,MISSOURI,"IRRIGATED, ENTIRE CROP"
HAY,2007,.00000,WISCONSIN,"IRRIGATED, NONE OF CROP"
HAY,2002,2.30000,LOUISIANA,"IRRIGATED, NONE OF CROP"
HAY,2002,2.10000,KANSAS,"IRRIGATED, ENTIRE CROP"
HAY,2012,4.20000,NEVADA,"IRRIGATED, NONE OF CROP"
HAY,2012,1.90000,NEVADA,"IRRIGATED, ENTIRE CROP"
CORN,2007,14.00000,TEXAS,"IRRIGATED, NONE OF CROP"
HAY,2007,2.40000,NORTH CAROLINA,"IRRIGATED, ENTIRE CROP"
HAY,2007,1.40000,IDAHO,"IRRIGATED, PART OF CROP"
CORN,2012,17.10000,MISSOURI,"IRRIGATED, ENTIRE CROP"
HAY,2007,1.60000,KENTUCKY,"IRRIGATED, NONE OF CROP"
HAY,2012,.00000,NEW JERSEY,"IRRIGATED, PART OF CROP"
HAY,2002,2.00000,ILLINOIS,"IRRIGATED, NONE OF CROP"
HAYLAGE,2002,.00000,OKLAHOMA,"IRRIGATED, PART OF CROP"
CORN,2002,.00000,MASSACHUSETTS,"IRRIGATED, PART OF CROP"
HAY,2002,1.70000,CALIFORNIA,"IRRIGATED, ENTIRE CROP"
HAY,2002,.00000,CONNECTICUT,"IRRIGATED, NONE OF CROP"
HAY,2007,2.50000,OREGON,"IRRIGATED, ENTIRE CROP"
HAY,2007,1.50000,INDIANA,"IRRIGATED, NONE OF CROP"
SUGARCANE,2007,33.30000,US TOTAL,"IRRIGATED, PART OF CROP"
HAYLAGE,2002,.00000,NEVADA,"IRRIGATED, ENTIRE CROP"
HAY,2002,2.60000,IDAHO,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2002,6.70000,MICHIGAN,"IRRIGATED, NONE OF CROP"
HAY,2007,1.30000,ARIZONA,"IRRIGATED, NONE OF CROP"
CORN,2012,23.10000,NEVADA,"IRRIGATED, ENTIRE CROP"
HAY,2012,3.30000,NEVADA,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,4.60000,NEVADA,"IRRIGATED, ENTIRE CROP"
HAY,2007,1.80000,NEW HAMPSHIRE,"IRRIGATED, NONE OF CROP"
HAY,2002,3.40000,GEORGIA,"IRRIGATED, ENTIRE CROP"
CORN,2007,.00000,NORTH CAROLINA,"IRRIGATED, PART OF CROP"
HAY,2002,1.10000,NEBRASKA,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2007,6.20000,UTAH,"IRRIGATED, ENTIRE CROP"
HAY,2002,4.40000,OHIO,"IRRIGATED, PART OF CROP"
HAY,2007,4.90000,TEXAS,"IRRIGATED, PART OF CROP"
HAY,2007,.00000,FLORIDA,"IRRIGATED, ENTIRE CROP"
HAY,2007,1.30000,IDAHO,"IRRIGATED, NONE OF CROP"
CORN,2002,14.10000,NORTH CAROLINA,"IRRIGATED, PART OF CROP"
HAY,2002,2.10000,MASSACHUSETTS,"IRRIGATED, NONE OF CROP"
HAY,2007,2.20000,GEORGIA,"IRRIGATED, PART OF CROP"
HAYLAGE,2007,7.00000,FLORIDA,"IRRIGATED, ENTIRE CROP"
CORN,2002,.00000,OHIO,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2002,1.80000,GEORGIA,"IRRIGATED, ENTIRE CROP"
CORN,2007,10.90000,ARKANSAS,"IRRIGATED, ENTIRE CROP"
HAY,2007,1.60000,CALIFORNIA,"IRRIGATED, NONE OF CROP"
HAY,2012,.60000,NEW YORK,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2012,8.50000,FLORIDA,"IRRIGATED, ENTIRE CROP"
HAY,2012,1.70000,FLORIDA,"IRRIGATED, NONE OF CROP"
HAY,2002,1.30000,NORTH CAROLINA,"IRRIGATED, NONE OF CROP"
HAYLAGE,2007,4.70000,WISCONSIN,"IRRIGATED, NONE OF CROP"
CORN,2007,18.00000,KANSAS,"IRRIGATED, PART OF CROP"
HAY,2007,1.90000,KENTUCKY,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2002,7.10000,CALIFORNIA,"IRRIGATED, NONE OF CROP"
HAY,2002,3.80000,UTAH,"IRRIGATED, ENTIRE CROP"
SUGARBEETS,2012,27.60000,MONTANA,"IRRIGATED, ENTIRE CROP"
HAY,2012,2.10000,MONTANA,"IRRIGATED, PART OF CROP"
HAY,2012,2.50000,MONTANA,"IRRIGATED, ENTIRE CROP"
HAY,2002,.00000,VERMONT,"IRRIGATED, NONE OF CROP"
HAY,2012,1.50000,NEW YORK,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2012,3.10000,NEW YORK,"IRRIGATED, ENTIRE CROP"
HAY,2012,.00000,NEW HAMPSHIRE,"IRRIGATED, PART OF CROP"
HAY,2012,1.40000,NEW HAMPSHIRE,"IRRIGATED, ENTIRE CROP"
HAY,2002,1.60000,IDAHO,"IRRIGATED, NONE OF CROP"
HAY,2012,1.40000,OHIO,"IRRIGATED, NONE OF CROP"
HAY,2002,2.50000,NEW MEXICO,"IRRIGATED, ENTIRE CROP"
HAY,2007,2.00000,ILLINOIS,"IRRIGATED, NONE OF CROP"
HAY,2007,1.40000,WISCONSIN,"IRRIGATED, NONE OF CROP"
HAY,2007,.00000,SOUTH CAROLINA,"IRRIGATED, PART OF CROP"
HAY,2007,1.60000,MONTANA,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2007,.00000,IOWA,"IRRIGATED, ENTIRE CROP"
SUGARBEETS,2002,.00000,OHIO,"IRRIGATED, NONE OF CROP"
HAY,2002,2.40000,PENNSYLVANIA,"IRRIGATED, NONE OF CROP"
HAY,2002,.00000,MARYLAND,"IRRIGATED, PART OF CROP"
HAY,2012,.00000,KENTUCKY,"IRRIGATED, PART OF CROP"
HAY,2002,2.00000,NEW JERSEY,"IRRIGATED, NONE OF CROP"
HAY,2002,1.00000,COLORADO,"IRRIGATED, PART OF CROP"
HAY,2012,3.10000,INDIANA,"IRRIGATED, PART OF CROP"
HAY,2012,2.30000,INDIANA,"IRRIGATED, NONE OF CROP"
HAY,2002,2.10000,NORTH DAKOTA,"IRRIGATED, PART OF CROP"
HAY,2002,1.40000,MISSOURI,"IRRIGATED, NONE OF CROP"
HAY,2002,2.00000,NEW JERSEY,"IRRIGATED, PART OF CROP"
HAY,2002,2.10000,DELAWARE,"IRRIGATED, NONE OF CROP"
HAY,2002,1.60000,TEXAS,"IRRIGATED, NONE OF CROP"
HAY,2007,4.90000,OREGON,"IRRIGATED, PART OF CROP"
CORN,2002,13.30000,PENNSYLVANIA,"IRRIGATED, ENTIRE CROP"
HAY,2007,2.50000,NEBRASKA,"IRRIGATED, ENTIRE CROP"
HAY,2007,1.80000,UTAH,"IRRIGATED, NONE OF CROP"
CORN,2007,13.00000,MINNESOTA,"IRRIGATED, PART OF CROP"
HAY,2002,2.70000,OKLAHOMA,"IRRIGATED, ENTIRE CROP"
HAY,2007,4.90000,WASHINGTON,"IRRIGATED, ENTIRE CROP"
CORN,2007,17.10000,MICHIGAN,"IRRIGATED, PART OF CROP"
HAY,2007,1.60000,NORTH CAROLINA,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,4.20000,NEW MEXICO,"IRRIGATED, PART OF CROP"
